Time Step;Label Index;Name (NA);MIL;SVD;Phi (°);Voxel count;Volume (mm³);Theta (°)
0;1;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;2;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;3;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;4;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;5;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;6;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;7;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;8;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;9;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;10;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;11;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;12;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;13;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;14;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;15;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;16;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;17;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;18;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;19;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;20;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;21;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;22;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;23;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;24;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;25;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;26;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;27;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;28;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;29;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;30;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;31;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;32;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;33;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;34;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;35;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;36;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;37;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;38;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;39;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;40;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;41;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;42;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;43;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;44;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;45;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;46;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;47;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;48;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;49;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;50;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;51;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;52;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;53;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
0;54;;4.218847493575595e-15;nan;90.0;1.0;1.0000000000000004e-06;90.0
